Image_path:,Label:
/data/yujun/深度学习前沿大作业_超声数据集/内部数据集/MobilePhone_train_dataset/doctor_D/data/3220D.jpg,0
/data/yujun/深度学习前沿大作业_超声数据集/内部数据集/MobilePhone_train_dataset/doctor_D/data/1900D.jpg,0
/data/yujun/深度学习前沿大作业_超声数据集/内部数据集/MobilePhone_train_dataset/doctor_E/data/2372E.jpg,0
/data/yujun/深度学习前沿大作业_超声数据集/内部数据集/MobilePhone_train_dataset/doctor_C/data/3489C.jpg,0
/data/yujun/深度学习前沿大作业_超声数据集/内部数据集/MobilePhone_train_dataset/doctor_F/data/2142F.jpg,0
/data/yujun/深度学习前沿大作业_超声数据集/内部数据集/MobilePhone_train_dataset/doctor_E/data/1370E.jpg,0
/data/yujun/深度学习前沿大作业_超声数据集/内部数据集/MobilePhone_train_dataset/doctor_C/data/2245C.jpg,0
/data/yujun/深度学习前沿大作业_超声数据集/内部数据集/MobilePhone_train_dataset/doctor_C/data/1531C.jpg,0
/data/yujun/深度学习前沿大作业_超声数据集/内部数据集/Original_train_dataset/cleaned_data/1547_3.jpg,0
/data/yujun/深度学习前沿大作业_超声数据集/内部数据集/MobilePhone_train_dataset/doctor_F/data/3173F.jpg,0
/data/yujun/深度学习前沿大作业_超声数据集/内部数据集/MobilePhone_train_dataset/doctor_F/data/2943F.jpg,0
/data/yujun/深度学习前沿大作业_超声数据集/内部数据集/MobilePhone_train_dataset/doctor_A/data/1344A.jpg,0
/data/yujun/深度学习前沿大作业_超声数据集/内部数据集/MobilePhone_train_dataset/doctor_E/data/3396E.jpg,0
/data/yujun/深度学习前沿大作业_超声数据集/内部数据集/MobilePhone_train_dataset/doctor_F/data/1844F.jpg,0
/data/yujun/深度学习前沿大作业_超声数据集/内部数据集/MobilePhone_train_dataset/doctor_E/data/3265E.jpg,0
/data/yujun/深度学习前沿大作业_超声数据集/内部数据集/MobilePhone_train_dataset/doctor_F/data/1459F.jpg,0
/data/yujun/深度学习前沿大作业_超声数据集/内部数据集/MobilePhone_train_dataset/doctor_F/data/2083F.jpg,0
/data/yujun/深度学习前沿大作业_超声数据集/内部数据集/MobilePhone_train_dataset/doctor_E/data/1137E.jpg,0
/data/yujun/深度学习前沿大作业_超声数据集/内部数据集/MobilePhone_train_dataset/doctor_C/data/1504C.jpg,0
/data/yujun/深度学习前沿大作业_超声数据集/内部数据集/MobilePhone_train_dataset/doctor_C/data/3359C.jpg,0
/data/yujun/深度学习前沿大作业_超声数据集/内部数据集/MobilePhone_train_dataset/doctor_E/data/2339E.jpg,0
/data/yujun/深度学习前沿大作业_超声数据集/内部数据集/Original_train_dataset/cleaned_data/1792_3.jpg,0
/data/yujun/深度学习前沿大作业_超声数据集/内部数据集/Original_train_dataset/cleaned_data/955_0.jpg,0
/data/yujun/深度学习前沿大作业_超声数据集/内部数据集/MobilePhone_train_dataset/doctor_D/data/2639D.jpg,0
/data/yujun/深度学习前沿大作业_超声数据集/内部数据集/MobilePhone_train_dataset/doctor_D/data/3113D.jpg,0
/data/yujun/深度学习前沿大作业_超声数据集/内部数据集/MobilePhone_train_dataset/doctor_A/data/1202A.jpg,0
/data/yujun/深度学习前沿大作业_超声数据集/内部数据集/Original_train_dataset/cleaned_data/1382_3.jpg,0
/data/yujun/深度学习前沿大作业_超声数据集/内部数据集/MobilePhone_train_dataset/doctor_E/data/2059E.jpg,0
/data/yujun/深度学习前沿大作业_超声数据集/内部数据集/Original_train_dataset/cleaned_data/1314_1.JPG,0
/data/yujun/深度学习前沿大作业_超声数据集/内部数据集/Original_train_dataset/cleaned_data/511_1.jpg,0
/data/yujun/深度学习前沿大作业_超声数据集/内部数据集/MobilePhone_train_dataset/doctor_F/data/3106F.jpg,0
/data/yujun/深度学习前沿大作业_超声数据集/内部数据集/Original_train_dataset/cleaned_data/1949_8.jpg,0
/data/yujun/深度学习前沿大作业_超声数据集/内部数据集/MobilePhone_train_dataset/doctor_A/data/1378A.jpg,0
/data/yujun/深度学习前沿大作业_超声数据集/内部数据集/MobilePhone_train_dataset/doctor_F/data/1788F.jpg,0
/data/yujun/深度学习前沿大作业_超声数据集/内部数据集/MobilePhone_train_dataset/doctor_C/data/775C.jpg,0
/data/yujun/深度学习前沿大作业_超声数据集/内部数据集/MobilePhone_train_dataset/doctor_A/data/1915A.jpg,0
/data/yujun/深度学习前沿大作业_超声数据集/内部数据集/Original_train_dataset/cleaned_data/1891_1.JPG,0
